stage-2,non-demo,Findings Sustained,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 10}",SMOTE,3,"[ 0.10210593  0.10181934  0.10185185 ...,  1.          1.          1.        ]","[ 1.        0.996875  0.996875 ...,  0.00625   0.003125  0.      ]","[ 0.29701796  0.29703886  0.29712329 ...,  0.83285313  0.84363359
  0.84612559]",0.804795743469,Tack on 
stage-2,non-demo,Findings Sustained,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 10}",None,3,"[ 0.07081213  0.07060646  0.07062209 ...,  0.2         0.          1.        ]","[ 1.        0.996875  0.996875 ...,  0.003125  0.        0.      ]","[ 0.03343757  0.03351418  0.03351477 ...,  0.39037995  0.40418401
  0.41682569]",0.5,Tack on 
stage-2,non-demo,Findings Sustained,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 10}",ROS,3,"[ 0.09367681  0.09354839  0.09357583 ...,  0.5         0.          1.        ]","[ 1.        0.996875  0.996875 ...,  0.003125  0.        0.      ]","[ 0.35366778  0.35367085  0.35380808 ...,  0.84712486  0.84907676
  0.84913521]",0.799661466382,Tack on 
stage-2,non-demo,Findings Sustained,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",SMOTE,3,"[ 0.08125952  0.08102616  0.08104675 ...,  1.          1.          1.        ]","[ 1.        0.996875  0.996875 ...,  0.00625   0.003125  0.      ]","[ 0.23817172  0.23831533  0.23843711 ...,  0.79410696  0.79719472
  0.79811532]",0.824677450575,Tack on 
stage-2,non-demo,Findings Sustained,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",None,3,"[ 0.08198821  0.08175295  0.0817739  ...,  0.          0.          1.        ]","[ 1.        0.996875  0.996875 ...,  0.        0.        0.      ]","[ 0.04300445  0.04301393  0.04301523 ...,  0.34699263  0.34765409
  0.3486593 ]",0.5,Tack on 
stage-2,non-demo,Findings Sustained,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",ROS,3,"[ 0.09478673  0.09451852  0.09454653 ...,  0.66666667  1.          1.        ]","[ 1.        0.996875  0.996875 ...,  0.00625   0.00625   0.      ]","[ 0.36152773  0.36152885  0.36154857 ...,  0.82799466  0.82880261
  0.83792443]",0.839515147325,Tack on 
stage-2,non-demo,Findings Sustained,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",SMOTE,3,"[ 0.08320333  0.08296489  0.08298647 ...,  0.5         1.          1.        ]","[ 1.        0.996875  0.996875 ...,  0.003125  0.003125  0.      ]","[ 0.27250208  0.272515    0.27260343 ...,  0.78589893  0.78608063  0.798497  ]",0.826617739827,Tack on 
stage-2,non-demo,Findings Sustained,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",None,3,"[ 0.08634647  0.08609987  0.08612311 ...,  0.5         0.          1.        ]","[ 1.        0.996875  0.996875 ...,  0.003125  0.        0.      ]","[ 0.04712806  0.04714033  0.04715714 ...,  0.29951938  0.3006079   0.3038359 ]",0.5,Tack on 
stage-2,non-demo,Findings Sustained,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",ROS,3,"[ 0.09315866  0.09289458  0.09292164 ...,  0.5         0.          1.        ]","[ 1.        0.996875  0.996875 ...,  0.003125  0.        0.      ]","[ 0.35622632  0.35630322  0.35663364 ...,  0.81214742  0.81534389
  0.82804423]",0.854040347727,Tack on 
stage-2,non-demo,Findings Sustained,RF,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 10}",SMOTE,3,"[ 0.07879833  0.07857143  0.07859079 ...,  0.5         0.          1.        ]","[ 1.        0.996875  0.996875 ...,  0.003125  0.        0.      ]","[ 0.06262017  0.0627127   0.06294644 ...,  0.89809089  0.90487694
  0.90670779]",0.764635171821,Tack on 
